Namespace,Type,CyclomaticComplexity,DepthOfInheritance,ClassCoupling,LinesOfCode,NumberOfMethods,Toxicity
System.Web.Http.Tracing.Tracers,ActionValueBinderTracer,0,0,0,0,0,0
System.Web.Razor.Generator,AddImportCodeGenerator,0,0,0,0,0,0
System.Web.Mvc,AdditionalMetadataAttribute,0,0,0,0,0,0
System.Web.WebPages.Administration,AdminSecurity,0,0,0,0,0,0
System.Web.Mvc,AjaxHelper,0,0,0,0,0,0
System.Web.Mvc,AjaxHelper<TModel>,0,0,0,0,0,0
Microsoft.Web.Mvc.Resources,AjaxHelperExtensions,0,0,0,0,0,0
Microsoft.Web.Mvc,AjaxOnlyAttribute,0,0,0,0,0,0
System.Web.Mvc,AjaxRequestExtensions,0,0,0,0,0,0
System.Web.Http,AllowAnonymousAttribute,0,0,0,0,0,0
System.Web.Mvc,AllowHtmlAttribute,0,0,0,0,0,0
System.Web.Http.Routing.Constraints,AlphaRouteConstraint,0,0,0,0,0,0
System.Web.Helpers,AntiForgery,0,0,0,0,0,0
System.Web.Helpers,AntiForgeryConfig,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,AntiForgeryConfigWrapper,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,AntiForgeryToken,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,AntiForgeryTokenSerializer,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,AntiForgeryTokenStore,0,0,0,0,0,0
System.Web.Helpers.AntiXsrf,AntiForgeryWorker,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionInvoker,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionSelector,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionSelector.CandidateActionWithParams,0,0,0,0,0,0
System.Web.Http.Controllers,ApiControllerActionSelector.StandardActionSelectionCache,0,0,0,0,0,0
System.Web.Http.Description,ApiDescription,0,0,0,0,0,0
ROOT_PROJECT_NAMESPACE.Areas.HelpPage,ApiDescriptionExtensions,0,0,0,0,0,0
System.Web.Http.Description,ApiExplorer.ApiDescriptionComparer,0,0,0,0,0,0
System.Web.Http.Description,ApiExplorerSettingsAttribute,0,0,0,0,0,0
System.Web.Http.Description,ApiParameterDescription,0,0,0,0,0,0
System.Web.Http.Description,ApiParameterSource,0,0,0,0,0,0
System.Web.WebPages.Deployment,AppDomainHelper,0,0,0,0,0,0
System.Web.WebPages.Deployment,AppDomainHelper.RemoteAssemblyLoader,0,0,0,0,0,0
System.Web.WebPages,ApplicationPart,0,0,0,0,0,0
System.Web.WebPages.ApplicationParts,ApplicationPartRegistry,0,0,0,0,0,0
System.Web.WebPages.Scope,ApplicationScopeStorageDictionary,0,0,0,0,0,0
Microsoft.Web.Mvc,AreaHelpers,0,0,0,0,0,0
System.Web.Mvc,AreaReference,0,0,0,0,0,0
System.Web.Mvc,AreaRegistration,0,0,0,0,0,0
System.Web.Mvc,AreaRegistrationContext,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ArrayModelBinder<TElement>,0,0,0,0,0,0
Microsoft.Web.Mvc.ModelBinding,ArrayModelBinderProvider,0,0,0,0,0,0
System.Web.WebPages.Scope,AspNetRequestScopeStorageProvider,0,0,0,0,0,0
System.Web.WebPages.Razor,AssemblyBuilderWrapper,0,0,0,0,0,0
System.Web.WebPages.Deployment,AssemblyUtils,0,0,0,0,0,0
System.Web.Mvc,AssociatedMetadataProvider,0,0,0,0,0,0
System.Web.Http.Metadata.Providers,AssociatedMetadataProvider<TModelMetadata>.PropertyInformation,0,0,0,0,0,0
System.Web.Http.Metadata.Providers,AssociatedMetadataProvider<TModelMetadata>.TypeInformation,0,0,0,0,0,0
System.Web.Http.Validation.Providers,AssociatedValidatorProvider,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncActionDescriptor,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncActionMethodSelector,0,0,0,0,0,0
System.Web.Mvc,AsyncController,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncControllerActionInvoker.ActionInvocation,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncManager,0,0,0,0,0,0
System.Web.Http.SelfHost.ServiceModel.Channels,AsyncResult.AsyncCompletion,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.CachedDelegates<TState>,0,0,0,0,0,0
System.Web.Mvc.Async,"AsyncResultWrapper.WrappedAsyncResult<TResult, TState>",0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.WrappedAsyncResult<TResult>,0,0,0,0,0,0
System.Web.Mvc.Async,AsyncResultWrapper.WrappedAsyncResultBase<TResult>,0,0,0,0,0,0
