Method,LOC,NP,v(G)
"org.jboss.as.clustering.controller.Model.requiresTransformation(ModelVersion)",8,1,1
"org.jboss.as.clustering.controller.OperationHandler.OperationHandler(OperationExecutor<C>,Class<O>)",3,2,1
"org.jboss.as.clustering.controller.OperationHandler.OperationHandler(OperationExecutor<C>,Collection<? extends Operation<C>>)",4,2,1
"org.jboss.as.clustering.controller.OperationHandler.OperationHandler(OperationExecutor<C>,Operation<C>[])",3,2,1
"org.jboss.as.clustering.controller.OperationHandler.register(ManagementResourceRegistration)",4,1,1
"org.jboss.as.clustering.controller.Operations.Operations()",3,0,1
"org.jboss.as.clustering.controller.Operations.createAddOperation(PathAddress,Map<Attribute, ModelNode>)",13,2,2
"org.jboss.as.clustering.controller.Operations.createAddOperation(PathAddress,int)",9,2,1
"org.jboss.as.clustering.controller.Operations.createAddOperation(PathAddress,int,Map<Attribute, ModelNode>)",14,3,2
"org.jboss.as.clustering.controller.Operations.createAttributeOperation(String,PathAddress,Attribute)",5,3,1
"org.jboss.as.clustering.controller.Operations.createCompositeOperation(List<ModelNode>)",13,1,2
"org.jboss.as.clustering.controller.Operations.createCompositeOperation(ModelNode...)",8,1,1
"org.jboss.as.clustering.controller.Operations.createDescribeOperation(PathAddress)",8,1,1
"org.jboss.as.clustering.controller.Operations.createListAddOperation(PathAddress,Attribute,String)",3,3,1
"org.jboss.as.clustering.controller.Operations.createListElementOperation(OperationDefinition,PathAddress,Attribute,String)",5,4,1
"org.jboss.as.clustering.controller.Operations.createListElementOperation(OperationDefinition,PathAddress,Attribute,int)",5,4,1
"org.jboss.as.clustering.controller.Operations.createListGetOperation(PathAddress,Attribute,int)",3,3,1
"org.jboss.as.clustering.controller.Operations.createListRemoveOperation(PathAddress,Attribute,String)",3,3,1
"org.jboss.as.clustering.controller.Operations.createListRemoveOperation(PathAddress,Attribute,int)",3,3,1
"org.jboss.as.clustering.controller.Operations.createMapClearOperation(PathAddress,Attribute)",5,2,1
"org.jboss.as.clustering.controller.Operations.createMapEntryOperation(OperationDefinition,PathAddress,Attribute,String)",5,4,1
"org.jboss.as.clustering.controller.Operations.createMapGetOperation(PathAddress,Attribute,String)",3,3,1
